Kode,Navn,Enhet,Kommentar,bauhaus,byggern,byggmakker,byggmax,byggtorget,elektroimportoren,fargerike,flisekompaniet,gausdal_landhandleri,industrivarer,jemogfix,jernia,maxbo,megaflis,monter,obs_bygg,staypro,torn,verktoy,xl_bygg
22563944,Løftehengsel 1146-85 venstre varmgalvanisert sb Habo,pakke,,,,229,,259,,,,,,,,,,,,,,,257.29
22567366,Kastekrok smidde 411-4 100mm varmgalvanisert sb Habo,stk,,,179,139,,151.64,,,,,,,,,,,,,,,153.04
24797045,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
24803157,"Pakkestropp 1,5m transport Fasty",stk,,,48,54.9,,,,,,,,,99.5,59,,,,,,,
24803165,"Pakkestropp 2,0m transport Fasty",stk,,,69,,,,,,,,,,79.5,,,,,,,,
24803173,"Pakkestropp 2,5m transport Fasty",stk,,,69,,,,,,,,,,80,,,,,,,,
25297235,Kappeskrue hylse m5x90-8 forn sb Habo,stk,,51.9,119,89,,129,,,,,,,,139,,136,49.9,50,,,149.99
25301078,Kastekrok 1340 75mm elforsinket sb Habo,pakke,,,53,44.9,,47.25,,,,37,,,,54.9,,,42.9,,,,47.25
25305533,Kassestrammer 4091 elforsinket sb Habo,pakke,,,86,69.9,,74.74,,,,59,,,,79,,91.9,,,,,74.74
25308750,Bolteskåte 5210 130mm elforsinket sb Habo,stk,,,239,179,,219,,,,,,,,219,,209,199,,,,206.22
25310038,Skyvedørsskål 200 børst stål sb Habo,pakke,,,129,109,,113.73,,,,88,,,,119,,115,99,,,,119.65
25310251,Skyvedørsring 291 krom sb Habo,pakke,,,289,219,,244.73,,,,209,,,,239,,300,199,,,,244.73
25321597,Dørhengsel snap-in 2465/65 hvit sb Habo,pakke,,99,195,119,,164.79,,,,149,,,,119,,,99,99,,,164.79
25621624,Skruekrok 11 elforsinket 60mm 5stk ESSVE,pakke,,,42,34.9,,38.13,,,,,,,,,,,,42,,,32.14
25861279,Karmskrue l 6x90mm elforsinket 100stk ESSVE,pakke,,,390,479,,430.05,,,,389,,,,,,569,,685,,,437.37
27626175,Kistehengsel 1735-150x40 elforsinket sb Habo,stk,,,279,179,,229.74,,,,,,,,199,,,159,,,,229.74
28757904,Dørhåndtak copenhagen utvendig b-krom sb Habo,stk,,379,549,539,,617.62,,,,,,,,629,,576,,,,,676.23
41083981,Lastestrammer 2t ls02-02x8m HP Schou,stk,,,189,219,,161.14,,,,,,,,199,,,,,,,175.05
41107442,Stabelhengsel klo 40 varmgalvanisert 25x400mm 10-4,stk,,,359,259,,297.83,,,,229,,,270,269,,,219,,150,,297.83
42770306,Lastestrammer 800kg ls02-008x5m HP Schou,stk,,,79,,,91.39,,,,,,,,89,,,,,,,102.5
45547698,Dørhåndtak innvendig b-krom polypropylene 2012stk Habo,stk,,,198,139,,178.75,,,,159,,,,139,,135,,,,,189
46751944,Knopp marcus 32mm porselen hvit sb Habo,stk,,,36,24.9,,34.9,,,,,,,,22.9,,39.9,19.5,,,,30.65
47183897,Trapp 4-trinn z600 c621 xl proff ZARGES,stk,,,3490,3590,,,,,,,,,,3190,,,,2863,,3594,
47256020,Habo leddhaspe 2365 sort sb,stk,,117,229,169,,,,,,,,,,199,,185,,,,,197.13
48269056,Nøkkelboks til vegg med kode HP Schou,stk,,,,,,,,,,,,,,,,,,,,,
50633940,Grindlås 49 låsbar varmgalvanisert sb Habo,stk,,,249,189,,217.65,,,,179,,,,219,,195,189,,,,217.65
50709101,Habo bolteskåte 230mm varmgalvanisert,stk,,,198,149,,186.84,,,,139,,,,189,,,,,,,186.84
52081540,Hengelås Habo 203-30 kode sølv sb,pakke,,,109,99,,109.6,,109,,109,,,,109,,102,99,,,,109.6
53481218,Bolteskåte 5210 varmgalvanisert sb Habo,pakke,,,229,169,,218.9,,,,159,,,,199,,189,159,,,,218.9
56131823,"Stige teleskop classico 3,8m med Telesteps",stk,,,,8894.5,,,,,,,,,,,,,,,,,
S1601300,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
10168292,"Spiker firkant varmgalvanisert 2,5-65 3kg Simpson Strong-Tie",stk,,,,,,,,,,,,,,,,,,,,,
11352267,"Gipsskrue innvendig 3,9x30 elforsinket essve 1000stk Philips",stk,,219,239,219,,203.23,,,,199,,,,,,315,,199,,,203.23
11353851,"Farmerskrue bs rød 4,8x35 elforsinket -250 ESSVE",stk,,,679,519,,389.39,,,,,,,,,,649,,349,,,389.39
11353869,"Farmerskrue bs hvit 4,8x35 elforsinket -250 ESSVE",pakke,,649,498,519,,389.39,,,,389,,,,,,468.75,,298,,,389.39
21218037,"Hullplate 60x140x1,5mm ean Simpson Strong-Tie",stk,,,15.9,11.9,,11.41,,,,,,,,11.9,,11.9,9.9,,,,11.53
21220769,"Vinkel 70x70x2,0x55mm ribbe ean Simpson Strong-Tie",stk,,,14.9,,,15.53,,,,,,,,15.9,,14.9,,,,,15.9
21220785,Vinkelbeslag 90 uten r ean Simpson Strong-Tie,stk,,,9.9,,,10.32,,,,,,,,,,12.9,10.9,,,,13.13
21220843,"Vinkelbeslag 93x93x3,0x40mm ean Simpson Strong-Tie",stk,,,15.9,,,18.9,,,,,,,,,,23.9,14.9,,,,17.9
21232541,Nylonplugg n 6x30 lysgrå 100stk ESSVE,pakke,,,1,99,,88.84,,,,80,,,,,,139,,46,,,88.84
21593983,"Simpson Strong-Tie hullplate 180x180x1,5mm",stk,,,98,,,,,,,,,,,99,,,,,,,
21594106,"Hullplate 200x300x2,0mm ean Simpson Strong-Tie",stk,,,135,94.9,,,,,,,,,,119,,,,,,,96.7
21700869,Hengejern 300x50x100x5x40mm ean Simpson Strong-Tie,stk,,,249,244,,229,,,,,,,,289,,299,229,,,,206.18
22817308,Treskrue innvendig senkhode 3x16 elforsinket 20stk ESSVE,stk,,,,39.9,,,,,,,,,,,,,,,,,
23447824,Ekspresspiker 8x70x110 elforsinket 50stk ESSVE,pakke,,,295,239,,209.12,,,,,,,,,,279,,244,,,219.39
23726938,"Gipsskrue innvendig 3,9x30 elforsinket 250stk Philips",stk,,109,149,169,,96.09,,,,95,,,,,,275,,109,,,91.75
23726946,"Gipsskrue innvendig 3,9x41 elforsinket 250stk Philips",stk,,119,169,249,,116.9,,,,179,,,,,,302,,119,,,116.9
23771637,"Sponplateskrue innvendig 4,2x30 elforsinket 250stk ESSVE",stk,,,249,319,,145.59,,,,239,,,,,,397,,219,,,139.79
24444234,Monteringsskive ø32mm Litex 100/pos,stk,,,359,259,,286.09,,,,239,,,,269,259,327,249,,,,294.6
25555103,Nylonplugg n 6x30 lys grå 15stk ESSVE,pakke,,,69,64.9,,45.14,,,,,,,,,,,,50,,,56.37
25559220,Spikerplugg 8/30/70 blank 5stk ESSVE,pakke,,,48.5,34.9,,,,,,,,,,,,51.9,,,,,41
25857848,"Blikksskrue 3,5x25 rustfri svart vindusblikkskrue r1 20stk ESSVE",stk,,,63,69.9,,64.75,,,,,,,,,,,,,,,57.3
28630242,Stift 13/8 ( 2500 ) Rapid,stk,,99.9,259,229,,237.74,,,,249,164,,199,,,264,,100,,199,237.74
28642601,Stift 140-12 ( 2000 ) Rapid,stk,,,289,219,,254.6,,,,,233,,,,,264.5,,124,,220,254.6
28998516,"Vinkelbeslag ac35350 50x50x2,0x35mm Simpson Strong-Tie",stk,,,6.9,5.9,,6.17,,,,,,,,6.5,,6.1,5.79,,,,6.06
30084826,Treskrue innvendig senkhode rustfri 4x40 15stk ESSVE,stk,,,69,79.9,,,,,,,,,,,,,,,,,60.8
30085443,"Treskrue innvendig ph 4,5x20 elforsinket ESSVE",stk,,,36,,,,,,,,,,,,,,,,,,32.98
30085674,"Gipsskrue tre 3,9x57 elforsinket 200stk Philips",stk,,,289,259,,184.77,,,,169,,,,,,279,,267,,,180.5
40347429,Treskrue utvendig hex 10x90 cs 25stk ESSVE,stk,,,14.9,259,,347.69,,,,,,,,,,689,,,,,332.78
41150707,Ekspansjonsbolt ga m8/50/126 varmgalvanisert 50stk ESSVE,pakke,,,995,1099,,874.14,,,,799,,,,,,1019,,1295,,,874.14
41467671,"Beslagskrue 5,0x35mm 250stk Simpson Strong-Tie",stk,,,379,,,,,,,,,,,,,229,,,,,230.7
42052674,"Vinkel 60x60x2,0x25mm Simpson Strong-Tie",stk,,,11.9,11.4,,11.84,,,,,,,,12.9,,14.9,11.9,,,,11.78
42052814,"Vinkel 40x60x2,0x25mm Simpson Strong-Tie",stk,,,10.9,9.9,,10.39,,,,,,,,10.9,,10.9,9.5,,,,10.34
42947217,"Vinkel ah 160x50x3,0x40mm diy Simpson Strong-Tie",stk,,,32,29.9,,30.49,,,,,,,,43.9,,31.9,65,,,,30.4
42948106,Vinkelbeslag 55365 Simpson Strong-Tie,stk,,,18.9,17.4,,18.38,,,,,,,,19.9,,18.9,17.9,,,,18.18
43722632,"Listeskrue innvendig 3,9x42 gul 400stk ESSVE",stk,,249,369,319,,236.04,,,,219,,,,,,379,,255,,,236.04
43844973,"Terrasseskrue 4,2x30 cs 250stk ESSVE",stk,,169,119,129,,122.22,,,,,,,,,,203,,169,,,119
43844992,"Terrasseskrue classic 4,5x55 250stk ESSVE",stk,,229,99,169,,153.03,,,,,,,,,,209,,229,,194,163.03
43845003,"Terrasseskrue 4,8x75 cs 250stk ESSVE",stk,,329,199,259,,262.69,,,,,,,,,,339,,329,,300,246.39
43845022,"Terrasseskruer classic 4,2x42 rustfri 250stk ESSVE",stk,,299,298,229,,237.63,,,,,,,,,,,,252,,,237.63
43845037,"Terrasseskrue classic 4,2x55 rustfri ESSVE 250stk",stk,,319,199,259,,269.95,,,,229,,,,,,389,,319,,,269.95
43845075,"Terrasseskrue clas 4,2x55 syrefast classic 250stk ESSVE",stk,,319,249,299,,269,,,,299,,,,,,589,,426,,421,348.9
43845086,"Terrasseskrue classic 4,8x75 syrefast 250stk ESSVE",stk,,629,459,589,,594.64,,,,509,,,,,,929,,658,,,594.64
44541885,Monteringsskrue 42mm/skive Bufab,stk,,,519,,,401.33,,,,,,,,,,,,,,,506.14
44828102,"Hullplate 160x180x1,5mm Simpson Strong-Tie",stk,,,28,34.9,,,,,,,,,,,,48.9,39.9,,,,33.92
44890822,"Gipsskrue innvendig 3,9x41 elforsinket 900stk Philips",stk,,239,259,239,,213.15,,,,209,,,,,,299,,239,,,213.15
45848316,"Terrasseskruer max3 utvendig 4,8x70 cs ESSVE",stk,,,229,259,,,,,,,,,,,,,,,,,
46006781,Fasadeplate gxl 8x100 senkhode elforsinket 50stk ESSVE,pakke,,,645,519,,488.6,,,,409,,,,,,667.55,,650,,,488.6
46006815,Fasadeplate gxl 10x100 senkhode varmgalvanisert ESSVE,pakke,,,945,879,,779.68,,,,659,,,,,,1073.32,,713,,,779.68
46898403,"Betongskrue senkhode cs 7,5x92 100stk ESSVE",pakke,,,6.9,1049,,720.3,,,,,447,,,,,1028.5,,1049,,,720.3
47096212,Underlagsskive m8 din 125 varmgalvanisert -100 ESSVE,pakke,,,48,44.9,,64.6,,,,47,,,,,,80,,100,,,64.6
47096223,Underlagsskive m10 din 125 varmgalvanisert -100 ESSVE,pakke,,,98,89,,134.15,,,,97,,,,,,167,,136,,,134.15
47096306,Låsemutter m10 din 985 elforsinket -50 ESSVE,pakke,,,1.9,59.9,,76.07,,,,64,,,,,,116.97,,104,,,79.39
47123576,Firkantskive m10 varmgalvanisert 50stk ESSVE,pakke,,,119,109,,150.4,,,,129,,,,,,205,,173,,,150.4
47123580,Firkantskive m12 varmgalvanisert 25stk ESSVE,pakke,,,135,119,,166.75,,,,139,,,,,,189,,430,,,166.39
48236232,Konstruksjonsskrue waf utvendig 6x40 cs ESSVE,stk,,,165,,,,,,,,,,,,,,,,,,183.05
48236258,Konstruksjonsskrue waf utvendig 6x50 cs ESSVE,stk,,,179,,,189.4,,,,,,,,,,,,,,,
48236364,Konstruksjonskrue waf 8x50 cs -50 ESSVE,stk,,,249,299,,236.94,,,,,,,,,,,,,,,259
48236383,Konstruksjonsskrue waf utvendig 8x70 cs ESSVE,stk,,,239,,,,,,,,,,,,,,,,,,268.94
48654813,Gjengestang høyglans 8.8 m10x1m varmgalvanisert ESSVE,pakke,,,79,49.9,,65.9,,,,55,,,,,,95.8,,120,,,65.9
50690761,Spikerplugg 6x80 elforsinket senket krage pz2 100stk ESSVE,stk,,,398,559,,494.5,,,,,,,,,,906,,248,,,480
50751820,Spikerplugg senkhode 5x37 elforsinket 200stk ESSVE,pakke,,,379,219,,544.79,,,,,,,,,,289,,219,,,544.79
51395453,Sekskantmutter m8 din 934 varmgalvanisert -100 ESSVE,pakke,,,89,79,,115.44,,,,90,,,,,,162.5,,102,,,109.9
51398366,"Terrasseskrue classic 4,2x55 syrefast 1000stk ESSVE",stk,,,990,1019,,999,,,,,,,,,,2529,,1628,,,1398.5
51416445,Sekskantmutter m10 din 934 varmgalvanisert -50 ESSVE,pakke,,,66,59.9,,84.15,,,,66,,,,,,122,,76,,,84.15
53023437,Sekskantskrue dg m10x70 varmgalvanisert delgjenget ESSVE 25stk,pakke,,,349,319,,404.69,,,,349,,,,,,629,,380,,,389
53083758,Treskrue innvendig senkhode 5x40 elforsinket 200stk ESSVE,stk,,,135,,,156.66,,,,,,,,,,,,,,,157.44
53668175,Forankring fix-o-chem 280ml BOSTIK,stk,,,389,419,,432.54,,,,,,,,,,,,,,,432.54
54096155,Treskrue ESSDRIVE senkhode 5x70 cs 100stk essve,stk,,,185,169,,166.15,,,,169,,,,,,219,,,,,179
54096166,Treskrue ESSDRIVE senkhode 5x80 cs 100stk essve,stk,,219,209,199,,197.3,,,,199,195,,,,,305,,,,,214.68
54096174,Treskrue ESSDRIVE corrseal senkhode 5x90 essve 100stk,stk,,229,259,259,,233.09,,,,229,199,,,,,299,,,,,253.3
54096185,Treskrue ESSDRIVE senkhode 5x100 cs 100stk essve,stk,,239,289,269,,257.03,,,,249,,,,,,339,,,,,279
54096212,Treskrue ESSDRIVE senkhode 6x80 cs 100stk essve,stk,,,339,379,,371.29,,,,319,,,,,,505,,,,,371.65
54096223,Treskrue ESSDRIVE senkhode 6x90 cs 100stk essve,stk,,299,349,349,,344.4,,,,339,,,,,,469,,,,,359
54096238,Treskrue ESSDRIVE senkhode 6x100 cs 100stk essve,stk,,319,398,349,,399.19,,,,339,,,,,,519,,,,,399.58
54339634,Treskrue ESSDRIVE senkhode 5x80 cs 700stk essve,stk,,,1290,1139,,1215.93,,,,1090,749,,,,,1789,,,,,1215.93
54339645,Treskrue ESSDRIVE senkhode 5x90 cs 600stk essve,stk,,,1390,1139,,1298.33,,,,1090,799,,,,,1359,,,,,1299.59
55210585,Treskrue ESSDRIVE senkhode 4x40 cs 200stk essve,stk,,,155,219,,162.13,,,,169,,,,,,229,,,,,176.4
55210593,Treskrue ESSDRIVE senkhode 4x50 cs 200stk essve,stk,,,165,239,,199,,,,189,,,,,,297,,,,,196.75
55210642,Treskrue ESSDRIVE senkhode 5x50 cs 200stk essve,stk,,,249,269,,269.5,,,,279,,,,,,409,,,,,269.5
55210657,Treskrue ESSDRIVE senkhode 5x60 cs 100stk essve,stk,,,175,189,,194.8,,,,199,,,,,,268,,,,,195
55249505,Simpson Strong-Tie stolpestøtte 350x30x25 zpro,stk,,,63,64.9,,63,,,,,,,,64.9,,70.9,49.9,,,,65.85
55249513,Simpson Strong-Tie stolpestøtte 450x40x31,stk,,,89,89,,91,,,,,,,,99,,89.9,89,,,,95.13
55255926,"Treskrue ESSDRIVE senkhode 4,5x50 elforsinket 200 essve",stk,,,259,279,,230.5,,,,229,,,,,,329,,,,,239
55255953,Treskrue ESSDRIVE senkhode 5x80 elforsinket 100stk essve,stk,,,198,199,,167.48,,,,219,130,,,,,341,,,,,167.48
55362455,Treskrue ESSDRIVE senkhode 5x90 elforsinket 100stk essve,stk,,,259,249,,203.6,,,,269,,,,,,429.5,,,,,203.6
55369943,Treskrue ESSDRIVE senkhode 4x25 elforsinket 200stk essve,stk,,,139,169,,137.84,,,,129,,,,,,198,,,,,134.9
55370000,Treskrue ESSDRIVE senkhode 5x50 elforsinket 200stk essve,stk,,,279,299,,248.69,,,,239,,,,,,254,,,,,248.69
55837914,"Spiker skarpkant varmgalvanisert 500 2,8-75stk Simpson Strong-Tie",stk,,,199,429,,261.38,,,,,,,,209,,189,179,,,,276.29
55837925,"Spiker skarpkant varmgalvanisert 250 3,4-95stk Simpson Strong-Tie",stk,,,199,,,311.45,,,,,,,,179,,169,149,,,,
55979658,Treskrue ESSDRIVE senkhode 5x80 syrefast -100 essve,stk,,,489,419,,430.85,,,,399,,,,,,666,,,,,430.85
56663857,Treskrue ESSDRIVE senkhode 3x25 elforsinket 200stk essve,stk,,,135,149,,119.15,,,,119,,,,,,183,,,,,119.15
56663861,Treskrue ESSDRIVE senkhode 3x30 elforsinket 200stk essve,stk,,,139,149,,124.58,,,,119,,,,,,193,,,,,124.58
56663914,"Treskrue ESSDRIVE senkhode 3,5x30 elforsinket 200 essve",stk,,,139,149,,124.58,,,,119,,,,,,195,,,,,124.58
56663933,"Treskrue ESSDRIVE senkhode 3,5x40 elforsinket 200 essve",stk,,,159,169,,140.83,,,,139,,,,,,224,,,,,140.83
10003218,"Flatmeisel 8"" Øyo",stk,,,90,,,,,,,,,,,,,216,,,,,
10004018,Øyo pussebrett plast 42x22cm,stk,,,165,159,,179,,,,,,,,189,,,,,,,204
21006705,Meterstokk tre 61-2-10 metrisk/tomme Hultafors,pakke,,,119,129,,131.4,,129,,90,,,189,84.9,,96.9,79,79,,95,132.15
21006796,Meterstokk glassfiber g59-2-10 Hultafors,pakke,,1490,1950,1490,,2312.5,1790,,,1590,1650,,1890,1490,,1490,1390,1170,,1730,2312.5
21010004,"Brekkjern proff 109/25"" Hultafors",pakke,,,1190,1099,,1150.39,,,,849,883,,1199,1049,,936,,669,449,1108,1322.35
21055611,Øyo flekkeskje 180mm,stk,,,259,599,,,,,,,,,,319,,,,,,548,672.11
21055710,Finpussebrett 18mm skum Øyo 10400,stk,,,249,269,,269,,,,,,,,289,,257,,,,455,289
21060926,Fugeskumpistol til påføring av fugeskum BOSTIK,stk,,,589,,,729,,,,,,,,,,,,,,,787.2
21556006,"Skiftenøkkel 8"" 8071 sb Bahco",pakke,,309,389,339,,,,,,,,,,389,309,444,,224,,,
21574306,"Unbrako foldeset be9777 2,5-10 bahc Bahco",pakke,,,439,339,,,,,,,,,,389,284,415,,,,,
21581806,"Håndsag 2600 superior 22"" Bahco",pakke,,239,349,269,,,,309,,,,,329,269,249,393,238,,,361,
21585161,Snekkerhammer 450gram 429stk Bahco,pakke,,189,249,239,,,,,,,253,,299,229,189,424,199,,,,
21666243,Murkost naturfiber rektangulær Jordan,pakke,,,149,99,,114.18,,139,,129,,,99.5,109,,99,94.9,,,,111.3
21666953,Malerull perfect 18cm glatte underlag Jordan,pakke,,,98,99,,97.95,,99,,85,,,109,109,109,105,102.9,,,,96.17
21667126,Minirull perfect 11cm skum Jordan,pakke,,,42,45,,39.57,,,,36,,,69.5,46.9,49,49.9,39.9,,,,39.24
21667571,Limspreder 230mm Jordan,pakke,,44.9,44,44.9,,44,,,,34,,,69.5,54.9,,49.9,44.9,,,,39.9
21855911,Firkantskje Øyo,stk,,,198,479,,225.89,,,,,,,,249,,,,,,443,364
22349765,Minirullbøyle kort perfect Jordan,pakke,,,48,51,45.95,50.9,,79,,42,,,69.5,54.9,49,49.9,45.9,,,,49.8
22496038,"Håndsprøyte h14 rs 0,3L BOSTIK",stk,,,729,799,,,,,,,,,,,,,,,,,
23015316,Håndsag byggern 22 -u7 bahco,stk,,,89,,,,,,,,,,,,,,,,,,
23050693,Sparkelspade 250mm Jordan,pakke,,,198,189,179,209,,189,,159,,,219,209,189,189,189,,,,187.09
23050719,Sparkelspade 450mm Jordan,pakke,,,279,249,,296.95,,,,229,,,,289,189,259,249,,,,289
23141294,Håndsag proffbyggern 22 -hp bahco,stk,,,179,,,,,,,,,,,,,,,,,,
23178965,Jordan perfect flat pensel 120mm ute,pakke,,,269,269,269,241.13,,279,,219,,,279,289,289,269,319,,,,242.38
23586928,Jordan fordriver Ultimate 100mm,pakke,,,249,199,,209.25,,239,,209,,,229,199,179,239,189,,,,209
24047847,Reserveblad skrape 25mm dråpe Jordan,stk,,,79,84.45,,,,,,,,,,,,,,,,,83.02
25431669,Blyant tømmermanns 18cm 148-40 Staedtler,pakke,,,22,25.9,,,,,,22,,,,19.9,,19.1,15.9,,200,,
25434788,Målebånd stål bt 8m kl i hult Hultafors,pakke,,589,798,999,,979.43,,,,639,764,,,589,,675,,529,,,979.43
26708545,Kniv håndverks- hvk Hultafors,stk,,79.9,79,99,,97.6,,,,,64,,129,84.9,,62.6,79,55,,67,98.68
26747147,Stemkniv stk Hultafors,stk,,109,139,169,,169,,,,,117,,,119,,107,,90,,123,177.02
27763358,Minirull Ultimate 10cm glatte underlag mikrofiber jordan,pakke,,,59,55,,57.84,,,,51,,,79.5,59,59,72.3,54.9,,,,55.42
30873319,"Murerbøtte 20,0L rund",stk,,39.9,73,99,26.95,117.6,59,,,70,118,,,,49,38,26.9,,,170,107.29
40090227,Øyo mursnor rød 50m,stk,,,145,,,192.15,,,,,130,,,159,,,,,,,186.34
40478364,Pensel flat Ultimate inne 35mm jordan,pakke,,,139,119,,124.4,,149,,119,,,149,129,,119,119,,,,125.29
40478893,Pensel flat Ultimate 50mm inne jordan,pakke,,,165,129,129,140.9,,179,,139,,,159,149,139,138,129,,,,140.9
40479388,Jordan pensel Ultimate innvendig 4001 oval,pakke,,,269,225,,244.9,,249,,229,,,239,249,239,225,225,,,,241.35
40479651,Jordan perfect flat pensel 35mm inne,pakke,,,109,109,99.95,102,,129,,86,,,119,119,129,107,139,,,,95
40479669,Jordan perfect flat pensel 50mm inne,pakke,,,145,149,129,134.28,,159,,119,,,149,149,149,135,159,,,,129.55
40480451,Jordan pensel perfect utvendig 6001 oval,pakke,,,189,189,,170.03,,,,159,,,199,199,,189,187.9,,,,170.47
40480568,Malerullbøyle 18cm aluminium Ultimate jordan,pakke,,,98,109,98.95,104.8,,129,,85,,,119,109,109,107,102.9,,,,104.8
40480592,Malerullbøyle 25cm aluminium Ultimate jordan,pakke,,,125,129,,134.9,,159,,109,,,149,129,129,129,122.9,,,,129
40786469,Bakelittsparkelsett 60-80-100mm Jordan,pakke,,,98,119,,100.9,,129,,77,,,119,119,,111,99,,,,93.44
41115049,Kniv mineralull fgk Hultafors,stk,,229,239,269,,289,,,,,217,,,229,,220,,169,,185,294.08
41341405,Sliperull s/l k120 Mirka,pakke,,,135,119,,131.19,,129,,90,,,,129,129,138,119,,,,111.03
41434739,Vannpumpetang 250mm Probuilder,stk,,,104.13,,,,,,,,,,,,,,95,,,,
41484619,Slipepapir borrelås k120 3stk Jordan,pakke,,,89,79,,89.25,,,,70,,,109,89,89,59.9,79,,,,84.9
41654211,Stålbørste til treverk forlengbar Jordan,pakke,,,319,299,299,383.2,,359,,359,,,339,329,319,299,327.9,,,,383.2
41838364,Langpensel perfect inne 50mm Jordan,stk,,,,,,,,,,,,,,,,,,,,,
42313925,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
42758777,"Brekkjern mini 108/7,5"" Hultafors",pakke,,109,125,149,,146.93,,,,94,111,,169,109,,105,,79,,110,146.93
44157725,Heydi blandevisp 90x600mm for ferdigpuss ferdigmørtel m.m Hey'di,stk,,399,469,324,,439.5,,,,,,,,369,,,,,,,419
44433824,Penselsett go inne for enklere arbeid Jordan,stk,,,63,59,,57.68,,99,,45,,,99.5,,,83.1,,,,76,57.68
44435841,Slipebrett metall borrelås Jordan,pakke,,,259,259,,261.04,,269,,229,,,279,289,259,259,289,,,,250
44490225,Sparkelspade sett 50-75-100mm Jordan,pakke,,,98,99,,104.9,,119,,79,,,99.5,99,99,95.5,89.9,,,,93.77
44490252,Perfect minirull filt 10cm Jordan,pakke,,,53,54.9,39.95,50.8,,79,,45,,,79.5,54.9,49,50,48.9,,,,49.9
44724400,Ultimate midirull jevne underlag 10cm jordan,pakke,,,109,111,98.95,101.5,,129,,95,,,119,129,129,107,139,,,,101.5
44724445,Jordan malerull Ultimate 18cm jevne underlag,pakke,,,125,109,,116.94,,129,,109,,,119,109,119,99,129,,,,114.3
44728524,Minirull perfect 10cm jevne underlag Jordan,pakke,,,53,64.9,,47.58,,79,,45,,,69.5,59,59,52.9,54.9,,,,47.58
44728562,Jordan malerull 10cm panel møbel og dør perfect,pakke,,,89,89,79.95,84.4,,99,,79,,,99.5,89,89,84.5,88.9,,,,77.65
44728702,Jordan perfect malerull 18cm jevne underlag,pakke,,,109,109,105,99.53,,,,92,,,119,119,119,109,105.9,,,,99.15
44729595,Ultimate malerull grove underlag 18cm jordan,pakke,,,129,111,98.95,118.85,,129,,119,,,119,119,109,111,111,,,,116.58
44729652,Malerull Ultimate 25cm grove underlag jordan,pakke,,,209,189,,199,,199,,189,,,199,209,189,189,189,,,,195.6
44730034,Minisett perfect 10cm glatte underlag Jordan,pakke,,,98,99,88.95,91.95,,99,,89,,,99.5,99,99,99.9,99.9,,,,93.88
44730045,Midisett perfect 10cm jevne underlag Jordan,pakke,,,155,159,149,141.45,,179,,139,,,169,159,149,159,149,,,,144.44
44730064,Minirullkar 10cm Jordan,pakke,,,39,39.9,,39.38,,69,,33,,,59.5,39.9,39,39.9,34.9,,,,36.63
44730083,Engangsinnlegg 10cm Jordan,pakke,,,15.9,15.9,,16.18,,21,,13.9,,,19.5,14.9,19,14.9,12.9,,,,14.9
44730117,Engangsinnlegg 25cm Jordan,pakke,,,32,26.9,,31.25,,35,,26,,,29.5,24.9,29,24.9,22.9,,,,25.9
44730522,Basic minirull jevne underlag 10cm Jordan,pakke,,,38,40,40.85,34.72,,59,,32,,,59.5,,49,44.4,43.9,,,,34.53
44730575,Jordan malerull basic 18cm jevne underlag,pakke,,,66,69,68.95,59.87,,69,,56,,,89.5,79,79,71.3,77.9,,,,59.84
44734582,Rullesett perfect 18cm jevne underlag Jordan,pakke,,,159,179,149,205.7,,199,,199,,,179,159,159,175,149,,,,190.95
44735418,Malerullkar 18cm Jordan,pakke,,,530,649,,530,,790,,450,,,695,490,390,638,390,,,,455.05
44735422,Engangsinnlegg 18cm Jordan,pakke,,,18.9,19.9,,18.7,,25,,15.9,,,29.5,15.9,19,16.9,13.9,,,,16.29
46557083,Målebånd sl 5m kl i mm hult Hultafors,pakke,,,379,399,,421.95,,,,299,349,,,349,,374,,299,,373,454.9
47209744,Penselsett go ute Jordan,stk,,,83,79,,79.08,,119,,62,231,,99.5,,,,,,,128,79.08
47323061,Jordan rullesett Ultimate til jevne underlag 18cm,stk,,,239,189,185,229,,269,,199,,,199,189,189,189,189,,,,209
47413743,Reservestifter LYRA dry grafitt 12stk,pakke,,,115,,,138.35,139,,,139,,,,,,167,99,51,,,138.35
48161820,Forlengerskaft langt 115-270cm Ultimate jordan,pakke,,,598,599,,683.79,,699,,729,,,629,649,,599,599,,,,708.58
48332264,Rullesett go 18cm 42mm ø Jordan,stk,,59.9,76,79,,69.04,,,,67,,,99.5,,,,,,,,69.9
48661703,Hullmerkepenn LYRA dry grafitt bl,stk,,,,,,,,,,,,,,,,,,,,,
51196093,Pensel tri tech Ultimate inne 20mm jordan,pakke,,,175,149,,158.18,,,,149,,,169,169,149,149,149,,,,157.35
52888265,Pensel flat Ultimate ute 75mm ergo jordan,stk,,,369,279,,299,,279,,299,,,269,269,279,279,269,,,,299
52888273,Pensel flat Ultimate ute 120mm ergo jordan,stk,,,319,319,,363.65,,334,,319,,,299,309,299,319,299,,,,339
52888284,Pensel oval vinkl Ultimate ute 65mm jordan,stk,,,429,319,,351.65,,329,,349,,,289,349,299,325,299,,,,329
