Kode,Navn,Enhet,Kommentar,bauhaus,byggern,byggmakker,byggmax,byggtorget,elektroimportoren,fargerike,flisekompaniet,gausdal_landhandleri,industrivarer,jemogfix,jernia,maxbo,megaflis,monter,obs_bygg,staypro,torn,verktoy,xl_bygg
54230960,Konstruksjonsvirke 48x98mm C24 impregnert NTR-AB,stk,,,31.9,34.5,29.9,34.89,,,,32.9,,,,33.9,,34.3,30.65,,,,33.9
54262933,Konstruksjonsvirke 48x98mm C24 ubehandlet,stk,,,29.9,31.4,26.15,30.98,,,,29.9,,,,28.9,,31.1,26.85,,,,30.25
10202026,"Bmi grunnmurspapp tynn 0,12x15m Icopal",stk,,,569,,,,,,,,,,,789,,794,,,,,
11409059,Kryssfinérplate forskaling 15mm 75x150cm eksteriør Film/Film filmbelagt bjørk rett kant,stk,,,950.88,505.8,,373.75,,,,,,,,,,2395.68,685,,,,503.78
26182154,Kryssfinérplate 12mm 120x240cm fuktig miljø BB/CC ubehandlet poppel rett kant,stk,,,742.02,837.98,,706.67,,,,579,,,,699,,,,,,,710.58
29465358,Gipsplate 9mm 120x274cm vindtett,m2,,,109,105.95,,,,,,,,,,118.26,,173,,,,,103.6
30716435,Kryssfinérplate 12mm 120x240cm eksteriør BB/CC ubehandlet poppel rett kant,stk,,,669,826.66,,894.98,,,,,,,,,,1704.56,,,,,759
30716450,Kryssfinérplate 18mm 120x240cm eksteriør BB/CC ubehandlet poppel rett kant,stk,,,959,1168.99,,1284.35,,,,,,,,,,2407.84,,,,,1098.5
43123878,Arbor mdf plate 2390 s/s skagen 5b,m2,,,319,161.33,,,,,,,,,,,,,,,,,
43656597,OSB plate 12mm 120x240cm OSB3 TG2,m2,,,131.93,125.52,139.06,125.19,,,,115.26,,,,132.26,,138.54,142.46,,,,126.83
46304232,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
52867432,Kryssfinérplate forskaling 15mm 75x150cm eksteriør oljet blandet bartre rett kant,stk,,,301.28,399.04,,325.81,,,,,,,,,,,,,,,326.9
S0925100,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
